ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-01 09:30:00.204379190-04:00,2026-06-01 13:30:00.204207712+00:00,10,2,38,A,B,0,309.53,5,128,171478,49626265,309.53,309.88,5,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.21,310.1,100,5,1,1,309.2,310.17,105,30,4,1,309.15,310.19,50,300,1,1,309.07,310.2,1,201,1,2,309.05,310.24,10,1300,1,1,309.03,310.25,200,500,1,1,309.0,310.28,859,40,32,1,AAPL
2026-06-01 09:30:00.204398283-04:00,2026-06-01 13:30:00.204226286+00:00,10,2,38,A,B,1,309.4,1,128,171997,49626295,309.53,309.88,5,2530,1,2,309.4,309.98,1,39,1,1,309.32,310.06,1,1300,1,1,309.31,310.1,1,5,1,1,309.21,310.17,100,30,1,1,309.2,310.19,105,300,4,1,309.15,310.2,50,201,1,2,309.07,310.24,1,1300,1,1,309.05,310.25,10,500,1,1,309.03,310.28,200,40,1,1,AAPL
2026-06-01 09:30:00.205252907-04:00,2026-06-01 13:30:00.205082614+00:00,10,2,38,C,B,0,309.53,5,128,170293,49627663,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.21,310.1,100,5,1,1,309.2,310.17,105,30,4,1,309.15,310.19,50,300,1,1,309.07,310.2,1,201,1,2,309.05,310.24,10,1300,1,1,309.03,310.25,200,500,1,1,309.0,310.28,859,40,32,1,AAPL
2026-06-01 09:30:00.205299056-04:00,2026-06-01 13:30:00.205129234+00:00,10,2,38,A,A,3,310.1,2,128,169822,49627736,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.21,310.1,100,7,1,2,309.2,310.17,105,30,4,1,309.15,310.19,50,300,1,1,309.07,310.2,1,201,1,2,309.05,310.24,10,1300,1,1,309.03,310.25,200,500,1,1,309.0,310.28,859,40,32,1,AAPL
2026-06-01 09:30:00.209152462-04:00,2026-06-01 13:30:00.208969615+00:00,10,2,38,C,B,3,309.21,100,128,182847,49633580,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,105,7,4,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.24,200,1300,1,1,309.0,310.25,859,500,32,1,308.99,310.28,30,40,1,1,AAPL
2026-06-01 09:30:00.302549523-04:00,2026-06-01 13:30:00.302376561+00:00,10,2,38,A,B,2,309.31,2,128,172962,49743047,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,3,1300,2,1,309.2,310.1,105,7,4,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.24,200,1300,1,1,309.0,310.25,859,500,32,1,308.99,310.28,30,40,1,1,AAPL
2026-06-01 09:30:00.311463702-04:00,2026-06-01 13:30:00.311295352+00:00,10,2,38,C,B,3,309.2,100,128,168350,49749274,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,3,1300,2,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.24,200,1300,1,1,309.0,310.25,859,500,32,1,308.99,310.28,30,40,1,1,AAPL
2026-06-01 09:30:00.317764069-04:00,2026-06-01 13:30:00.317468602+00:00,10,2,38,C,A,0,309.31,2,128,295467,49750319,309.4,309.71,1,35,1,1,309.32,309.88,1,2530,1,2,309.31,309.98,1,39,1,1,309.2,310.06,5,1300,3,1,309.15,310.1,50,7,1,2,309.07,310.17,1,30,1,1,309.05,310.19,10,300,1,1,309.03,310.2,200,201,1,2,309.0,310.24,859,1300,32,1,308.99,310.25,30,500,1,1,AAPL
2026-06-01 09:30:00.317840109-04:00,2026-06-01 13:30:00.317634453+00:00,10,2,38,A,A,0,309.5,178,128,205656,49750413,309.4,309.5,1,178,1,1,309.32,309.71,1,35,1,1,309.31,309.88,1,2530,1,2,309.2,309.98,5,39,3,1,309.15,310.06,50,1300,1,1,309.07,310.1,1,7,1,2,309.05,310.17,10,30,1,1,309.03,310.19,200,300,1,1,309.0,310.2,859,201,32,2,308.99,310.24,30,1300,1,1,AAPL
2026-06-01 09:30:00.317866745-04:00,2026-06-01 13:30:00.317698407+00:00,10,2,38,T,B,0,309.5,178,0,168338,49750446,309.4,309.5,1,178,1,1,309.32,309.71,1,35,1,1,309.31,309.88,1,2530,1,2,309.2,309.98,5,39,3,1,309.15,310.06,50,1300,1,1,309.07,310.1,1,7,1,2,309.05,310.17,10,30,1,1,309.03,310.19,200,300,1,1,309.0,310.2,859,201,32,2,308.99,310.24,30,1300,1,1,AAPL
2026-06-01 09:30:00.317866745-04:00,2026-06-01 13:30:00.317698407+00:00,10,2,38,C,A,0,309.5,178,128,168338,49750446,309.4,309.71,1,35,1,1,309.32,309.88,1,2530,1,2,309.31,309.98,1,39,1,1,309.2,310.06,5,1300,3,1,309.15,310.1,50,7,1,2,309.07,310.17,1,30,1,1,309.05,310.19,10,300,1,1,309.03,310.2,200,201,1,2,309.0,310.24,859,1300,32,1,308.99,310.25,30,500,1,1,AAPL
2026-06-01 09:30:00.319315045-04:00,2026-06-01 13:30:00.319147885+00:00,10,2,38,A,A,8,310.23,40,128,167160,49750701,309.4,309.71,1,35,1,1,309.32,309.88,1,2530,1,2,309.31,309.98,1,39,1,1,309.2,310.06,5,1300,3,1,309.15,310.1,50,7,1,2,309.07,310.17,1,30,1,1,309.05,310.19,10,300,1,1,309.03,310.2,200,201,1,2,309.0,310.23,859,40,32,1,308.99,310.24,30,1300,1,1,AAPL
2026-06-01 09:30:00.322212078-04:00,2026-06-01 13:30:00.322044727+00:00,10,2,38,A,A,1,309.76,20,128,167351,49751184,309.4,309.71,1,35,1,1,309.32,309.76,1,20,1,1,309.31,309.88,1,2530,1,2,309.2,309.98,5,39,3,1,309.15,310.06,50,1300,1,1,309.07,310.1,1,7,1,2,309.05,310.17,10,30,1,1,309.03,310.19,200,300,1,1,309.0,310.2,859,201,32,2,308.99,310.23,30,40,1,1,AAPL
2026-06-01 09:30:00.326763359-04:00,2026-06-01 13:30:00.326592872+00:00,10,2,38,C,A,0,309.71,35,128,170487,49753787,309.4,309.76,1,20,1,1,309.32,309.88,1,2530,1,2,309.31,309.98,1,39,1,1,309.2,310.06,5,1300,3,1,309.15,310.1,50,7,1,2,309.07,310.17,1,30,1,1,309.05,310.19,10,300,1,1,309.03,310.2,200,201,1,2,309.0,310.23,859,40,32,1,308.99,310.24,30,1300,1,1,AAPL
2026-06-01 09:30:00.327006900-04:00,2026-06-01 13:30:00.326839109+00:00,10,2,38,A,B,0,309.49,50,128,167791,49754055,309.49,309.76,50,20,1,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,309.0,310.24,859,1300,32,1,AAPL
2026-06-01 09:30:00.331315423-04:00,2026-06-01 13:30:00.331146958+00:00,10,2,38,A,B,0,309.5,2,128,168465,49756670,309.5,309.76,2,20,1,1,309.49,309.88,50,2530,1,2,309.4,309.98,1,39,1,1,309.32,310.06,1,1300,1,1,309.31,310.1,1,7,1,2,309.2,310.17,5,30,3,1,309.15,310.19,50,300,1,1,309.07,310.2,1,201,1,2,309.05,310.23,10,40,1,1,309.03,310.24,200,1300,1,1,AAPL
2026-06-01 09:30:00.336104890-04:00,2026-06-01 13:30:00.335937710+00:00,10,2,38,A,A,0,309.76,1,128,167180,49757698,309.5,309.76,2,21,1,2,309.49,309.88,50,2530,1,2,309.4,309.98,1,39,1,1,309.32,310.06,1,1300,1,1,309.31,310.1,1,7,1,2,309.2,310.17,5,30,3,1,309.15,310.19,50,300,1,1,309.07,310.2,1,201,1,2,309.05,310.23,10,40,1,1,309.03,310.24,200,1300,1,1,AAPL
2026-06-01 09:30:00.437316169-04:00,2026-06-01 13:30:00.437128714+00:00,10,2,38,A,B,1,309.49,40,128,187455,49814927,309.5,309.76,2,21,1,2,309.49,309.88,90,2530,2,2,309.4,309.98,1,39,1,1,309.32,310.06,1,1300,1,1,309.31,310.1,1,7,1,2,309.2,310.17,5,30,3,1,309.15,310.19,50,300,1,1,309.07,310.2,1,201,1,2,309.05,310.23,10,40,1,1,309.03,310.24,200,1300,1,1,AAPL
2026-06-01 09:30:00.437553996-04:00,2026-06-01 13:30:00.437382563+00:00,10,2,38,A,B,1,309.49,40,128,171433,49815128,309.5,309.76,2,21,1,2,309.49,309.88,130,2530,3,2,309.4,309.98,1,39,1,1,309.32,310.06,1,1300,1,1,309.31,310.1,1,7,1,2,309.2,310.17,5,30,3,1,309.15,310.19,50,300,1,1,309.07,310.2,1,201,1,2,309.05,310.23,10,40,1,1,309.03,310.24,200,1300,1,1,AAPL
2026-06-01 09:30:00.479125398-04:00,2026-06-01 13:30:00.478958396+00:00,10,2,38,A,A,0,309.71,4,128,167002,49837914,309.5,309.71,2,4,1,1,309.49,309.76,130,21,3,2,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.503101600-04:00,2026-06-01 13:30:00.502918282+00:00,10,2,38,T,N,0,309.52,2,128,183318,49842859,309.5,309.71,2,4,1,1,309.49,309.76,130,21,3,2,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
2026-06-01 09:30:00.515140970-04:00,2026-06-01 13:30:00.514969902+00:00,10,2,38,C,A,1,309.76,1,128,171068,49852504,309.5,309.71,2,4,1,1,309.49,309.76,130,20,3,1,309.4,309.88,1,2530,1,2,309.32,309.98,1,39,1,1,309.31,310.06,1,1300,1,1,309.2,310.1,5,7,3,2,309.15,310.17,50,30,1,1,309.07,310.19,1,300,1,1,309.05,310.2,10,201,1,2,309.03,310.23,200,40,1,1,AAPL
